key,lang,text
speaker_mara,en,Mara
speaker_mara,zh,玛拉
speaker_you,en,You
speaker_you,zh,我
speaker_narrator,en,Narration
speaker_narrator,zh,旁白
speaker_broker,en,Broker
speaker_broker,zh,掮客
speaker_guard,en,Gate Guard
speaker_guard,zh,城门守卫
speaker_captain,en,Tower Captain
speaker_captain,zh,塔楼队长
line_start,en,"I spot the black tower through the rain."
line_start,zh,"我在雨里看见黑塔。"
line_street,en,"A patrol turns the corner. Last chance to signal Mara."
line_street,zh,"巡逻兵转过街角。现在还能叫玛拉。"
line_meet_mara,en,"About time. I brought the patrol schedule, and yes, I borrowed it permanently."
line_meet_mara,zh,"你终于来了。我带了巡逻排班表，当然，是借了就不还的那种。"
line_trust_choice,en,"Tell me why you came before I decide how much trouble this is worth."
line_trust_choice,zh,"先告诉我你为什么来，我再决定这趟麻烦值不值得。"
line_route_hub,en,"Three routes: market, forest, city gate."
line_route_hub,zh,"三条路：集市、森林、城门。"
line_market_choice,en,"The broker taps a silver badge on her cup."
line_market_choice,zh,"掮客用银徽章敲茶杯。"
line_vendor_help,en,"The broker takes the schedule and slides over the badge."
line_vendor_help,zh,"掮客收下排班表，推来徽章。"
line_vendor_steal,en,"The broker smiles. Then every market bell screams."
line_vendor_steal,zh,"掮客笑了。接着集市警铃全响。"
line_forest_choice,en,"A flooded bridge blocks the path. A shrine glows nearby."
line_forest_choice,zh,"水淹的桥挡路。旁边神龛发光。"
line_old_shrine,en,"I know this oath. Keep watch while I read it."
line_old_shrine,zh,"这段誓词我认得。你盯着周围，我来念。"
line_secret_cache,en,"Inside: a dry tower service badge."
line_secret_cache,zh,"里面是一枚干燥的高塔勤务徽章。"
line_guard_choice,en,"The guard wants a reason, a badge, or an excuse to leave."
line_guard_choice,zh,"守卫要理由、徽章，或者一个下班借口。"
line_guard_convince,en,"The guard stamps a pass and forgets your face."
line_guard_convince,zh,"守卫盖章，顺便忘了你的脸。"
line_guard_alarm,en,"Bad bluff. He grabs the whistle."
line_guard_alarm,zh,"骗得很糟。他去摸哨子。"
line_service_road,en,"The badge opens a narrow service road."
line_service_road,zh,"徽章打开一条勤务小路。"
line_alarm_choice,en,"There! Boots thunder through the rain."
line_alarm_choice,zh,"在那边！靴声冲进雨里。"
line_hide,en,"I dive into a laundry cart. Heroic? No. Effective? Yes."
line_hide,zh,"我钻进洗衣车。英勇？不。管用？是。"
line_run,en,"Wrong way. Loud way. Very useful for us."
line_run,zh,"方向错，动静大。对我们很有用。"
line_vault_choice,en,"The bell rope waits. Pull right, save the city."
line_vault_choice,zh,"钟绳就在眼前。拉对了，城市得救。"
line_quiet_escape,en,"I pull once. The city wakes before the guards do."
line_quiet_escape,zh,"我拉下一次。城市比守卫先醒。"
line_signal_mara,en,"I have the gears jammed. Also, this helmet is mine now."
line_signal_mara,zh,"齿轮我卡住了。还有，这顶头盔现在归我。"
line_end_good,en,"Victory! The tower falls silent, the city cheers, and someone names a terrible pastry after you."
line_end_good,zh,"成功通关！高塔哑火，全城欢呼，还有人用你的名字命名了一种难吃点心。"
line_end_capture,en,"The captain thanks you for delivering yourself."
line_end_capture,zh,"队长感谢你主动送上门。"
choice_meet_mara,en,"Signal Mara"
choice_meet_mara,zh,"向玛拉打信号"
choice_go_alone,en,"Go alone"
choice_go_alone,zh,"独自行动"
choice_share_truth,en,"Tell her the truth"
choice_share_truth,zh,"告诉她真相"
choice_play_cool,en,"Act casual"
choice_play_cool,zh,"装作很随意"
choice_market,en,"Try the night market"
choice_market,zh,"去夜市碰碰运气"
choice_forest,en,"Take the forest path"
choice_forest,zh,"走森林小路"
choice_city_gate,en,"Talk through the city gate"
choice_city_gate,zh,"去城门交涉"
choice_service_road,en,"Use the service road"
choice_service_road,zh,"使用勤务通道"
choice_vendor_help,en,"Let Mara negotiate"
choice_vendor_help,zh,"让玛拉谈判"
choice_vendor_steal,en,"Steal the badge"
choice_vendor_steal,zh,"偷走徽章"
choice_market_leave,en,"Leave the broker"
choice_market_leave,zh,"离开掮客"
choice_river,en,"Cross the flooded bridge"
choice_river,zh,"穿过被淹的桥"
choice_old_shrine,en,"Inspect the glowing shrine"
choice_old_shrine,zh,"调查发光的神龛"
choice_forest_back,en,"Return to the route"
choice_forest_back,zh,"回到岔路"
choice_guard_convince,en,"Make a convincing case"
choice_guard_convince,zh,"认真说服守卫"
choice_guard_bluff,en,"Bluff past him"
choice_guard_bluff,zh,"虚张声势闯过去"
choice_guard_back,en,"Back away"
choice_guard_back,zh,"先退回去"
choice_hide,en,"Hide until it passes"
choice_hide,zh,"躲到风头过去"
choice_run,en,"Run for the tower"
choice_run,zh,"冲向高塔"
choice_quiet_escape,en,"Pull the bell quietly"
choice_quiet_escape,zh,"悄悄拉响钟"
choice_signal_mara,en,"Signal Mara for help"
choice_signal_mara,zh,"向玛拉求援"
choice_smash,en,"Force the mechanism"
choice_smash,zh,"强行撬动机关"
ui_next,en,Next
ui_next,zh,继续
ui_restart,en,Restart
ui_restart,zh,重新开始
