key,lang,text
speaker_mara,en,Mara
speaker_mara,zh,玛拉
line_start,en,"The signal is clear. We have one chance to move before nightfall."
line_start,zh,"信号很清楚。入夜前我们只有一次行动机会。"
line_ask_path,en,"Which route should we take?"
line_ask_path,zh,"我们该走哪条路？"
line_forest,en,"The forest path keeps us hidden. Move quietly and keep the lantern low."
line_forest,zh,"森林小路能让我们隐蔽前进。放轻脚步，把灯压低。"
line_city,en,"The city gate is faster, but every guard will see us coming."
line_city,zh,"城门更快，但所有守卫都会看见我们。"
line_locked,en,"Your badge opens the service road. That changes everything."
line_locked,zh,"你的徽章能打开勤务道路。局势完全不同了。"
line_end_good,en,"You reach the ridge unseen."
line_end_good,zh,"你们悄无声息地抵达山脊。"
line_end_neutral,en,"You make it through, but the alarm bells are already ringing."
line_end_neutral,zh,"你们成功穿过，但警钟已经响起。"
choice_forest,en,"Take the forest path"
choice_forest,zh,"走森林小路"
choice_city,en,"Go through the city gate"
choice_city,zh,"穿过城门"
choice_locked,en,"Use the service road"
choice_locked,zh,"使用勤务道路"
ui_next,en,Next
ui_next,zh,继续
ui_restart,en,Restart
ui_restart,zh,重新开始
